Date,Podium,Contestant,J! Attempts,J! Buzzes,J! Buzz%,J! Correct,J! Incorrect,J! Correct%,J! Long Streak,J! DD,J! End Score,DJ! Attempts,DJ! Buzzes,DJ! Buzz%,DJ! Correct,DJ! Incorrect,DJ! Correct%,DJ! Long Streak,DJ! DD1,DJ! DD2,DJ! End Score,FJ! Correct,FJ! Wager,FJ! End Score,J! UR Count,J! UR Value,J! DD Count,J! DD Value,J! Att Possible,J! Buzz Value Possible,DJ! UR Count,DJ! UR Value,DJ! DD Count,DJ! DD Value,DJ! Att Possible,DJ! Buzz Value Possible,Total Attempt,Total Buzz,Total Buzz %,J! Score on Buzz,J! Score/Buzz,J! Score/Attempt,DJ! Score on Buzz,DJ! Score/Buzz,DJ! Score/Attempt,Total Score on Buzz,Total Score/Buzz,Total Score/Attempt,J! Correct on Buzz,J! DDs found,J! DDs/Correct on Buzz,J! DDs/Buzz,J! DDs/Attempt,DJ! Correct on Buzz,DJ! DDs found,DJ! DDs/Correct on Buzz,DJ! DDs/Buzz,DJ! DDs/Attempt
1/12/2022,1,Amy Schneider,23,14,60.87%,13,1,92.86%,4,,7000,23,18,78.26%,17,2,89.47%,8,-4000,,23000,FALSE,12000,11000,0,0,1,800,29,17200,0,0,2,2400,28,33600,46,32,69.57%,7000,500,304.3478261,20000,1111.111111,869.5652174,27000,843.75,586.9565217,13,0,0,0,0,17,1,0.05882352941,0.05555555556,0.04347826087
1/12/2022,2,Emma Shirato Almon,16,5,31.25%,3,2,60.00%,2,,-200,12,1,8.33%,1,0,100.00%,1,,,200,TRUE,20,220,0,0,1,800,29,17200,0,0,2,2400,28,33600,28,6,21.43%,-200,-40,-12.5,400,400,33.33333333,200,33.33333333,7.142857143,3,0,0,0,0,1,0,0,0,0
1/12/2022,3,Ally Bove,15,9,60.00%,9,1,90.00%,2,-1000,3200,14,4,28.57%,4,1,80.00%,2,,-5000,3000,FALSE,2000,1000,0,0,1,800,29,17200,0,0,2,2400,28,33600,29,13,44.83%,4200,466.6666667,280,4800,1200,342.8571429,9000,692.3076923,310.3448276,9,1,0.1111111111,0.1111111111,0.06666666667,4,1,0.25,0.25,0.07142857143
1/13/2022,1,Amy Schneider,22,13,59.09%,14,0,100.00%,6,2000,10400,25,15,60.00%,15,2,88.24%,11,4000,2000,28800,TRUE,4000,32800,0,0,1,800,29,17200,0,0,2,3600,28,32400,47,28,59.57%,8400,646.1538462,381.8181818,12400,826.6666667,496,20800,742.8571429,442.5531915,13,1,0.07692307692,0.07692307692,0.04545454545,13,2,0.1538461538,0.1333333333,0.08
1/13/2022,2,Clark Dawson,17,8,47.06%,7,1,87.50%,3,,2800,15,1,6.67%,1,0,100.00%,1,,,4000,FALSE,5,3995,0,0,1,800,29,17200,0,0,2,3600,28,32400,32,9,28.13%,2800,350,164.7058824,1200,1200,80,4000,444.4444444,125,7,0,0,0,0,1,0,0,0,0
1/13/2022,3,Cory Anotado,17,8,47.06%,5,3,62.50%,2,,1200,15,11,73.33%,10,1,90.91%,3,,,11200,FALSE,0,11200,0,0,1,800,29,17200,0,0,2,3600,28,32400,32,19,59.38%,1200,150,70.58823529,10000,909.0909091,666.6666667,11200,589.4736842,350,5,0,0,0,0,10,0,0,0,0
1/14/2022,1,Amy Schneider,23,14,60.87%,14,1,93.33%,3,2000,9000,20,12,60.00%,14,0,100.00%,6,4000,6000,30200,FALSE,20000,10200,0,0,1,600,29,17400,0,0,2,2400,28,33600,43,26,60.47%,7000,500,304.3478261,11200,933.3333333,560,18200,700,423.255814,13,1,0.07692307692,0.07142857143,0.04347826087,12,2,0.1666666667,0.1666666667,0.1
1/14/2022,2,Luis Soto,20,10,50.00%,5,5,50.00%,3,,600,11,7,63.64%,5,2,71.43%,2,,,3000,FALSE,2000,1000,0,0,1,600,29,17400,0,0,2,2400,28,33600,31,17,54.84%,600,60,30,2400,342.8571429,218.1818182,3000,176.4705882,96.77419355,5,0,0,0,0,5,0,0,0,0
1/14/2022,3,Rachel Ostrow,19,9,47.37%,8,1,88.89%,2,,3000,15,6,40.00%,4,2,66.67%,4,,,3800,FALSE,2201,1599,0,0,1,600,29,17400,0,0,2,2400,28,33600,34,15,44.12%,3000,333.3333333,157.8947368,800,133.3333333,53.33333333,3800,253.3333333,111.7647059,8,0,0,0,0,4,0,0,0,0
1/17/2022,1,Amy Schneider,22,15,68.18%,14,2,87.50%,12,-1800,6400,24,19,79.17%,19,1,95.00%,4,4000,,26800,TRUE,10000,36800,0,0,1,600,29,17400,0,0,2,2800,28,33200,46,34,73.91%,8200,546.6666667,372.7272727,16400,863.1578947,683.3333333,24600,723.5294118,534.7826087,14,1,0.07142857143,0.06666666667,0.04545454545,18,1,0.05555555556,0.05263157895,0.04166666667
